suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
ARCADIA,MEDIUM,HOUSE,750,8,4,3,2,3,SUNNINGDALE,HARARE MUNICIPALITY,2,0,1,2,1,0,1,1,0,1
HATFIELD,MEDIUM,HOUSE,700,8,4,4,3,3,HATFIELD,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,1,1
GOODHOPE,MEDIUM,HOUSE,750,7,2,2,1,4,HARARE WEST,HARARE MUNICIPALITY,2,0,0,0,1,0,1,0,0,1
CHIKURUBI,MEDIUM,HOUSE,600,7,3,1,0,3,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
CHADCOMBE,MEDIUM,HOUSE,650,6,3,2,1,4,HATFIELD,HARARE MUNICIPALITY,1,0,1,3,0,0,1,0,0,1
HATFIELD,MEDIUM,HOUSE,650,6,3,2,1,4,HATFIELD,HARARE MUNICIPALITY,2,0,0,0,1,1,1,1,0,1
PARKTOWN,MEDIUM,HOUSE,700,6,4,2,1,4,HATFIELD,HARARE MUNICIPALITY,2,0,1,2,1,1,1,1,0,1
WARREN PARK,HIGH,HOUSE,550,6,3,2,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
UNIT B,HIGH,HOUSE,400,7,4,2,1,3,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
RIVERSIDE,HIGH,HOUSE,400,7,3,2,1,3,CHITUNGWIZA NORTH,CHITUNGWIZA MUNICIPALITY,1,0,1,0,1,0,1,0,1,0
ARDBENNIE,HIGH,HOUSE,450,7,3,2,1,3,MBARE,HARARE MUNICIPALITY,0,0,0,0,1,1,1,0,0,0
ADELAIDE PARK,HIGH,HOUSE,400,7,3,2,1,3,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,1,0,1,1,1,1,0,0
ZENGEZA 4,HIGH,CLUSTER,180,3,0,1,0,3,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ZENGEZA 5,HIGH,CLUSTER,150,2,0,1,0,4,ZENGEZA WEST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
UNIT B,HIGH,CLUSTER,150,2,0,1,0,4,ZENGEZA EAST,CHITUNGWIZA MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
