address,authority,latitude,longitude
2678 CHIEDZA,CHITUNGWIZA MUNICIPALITY,-17.99433219,31.03241195
2700 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99449995,31.03080007
2685 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99432116,31.03162547
NULL,CHITUNGWIZA MUNICIPALITY,-17.99496179,31.03062539
9518 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99661416,31.02839162
2758 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99491826,31.03157278
2676 231 JEKACHEKA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99436208,31.03217626
"2678 73 CHIEDZA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99438476,31.03209864
NULL,CHITUNGWIZA MUNICIPALITY,-17.99480685,31.03195351
2713 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99448503,31.03001623
2783 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99542964,31.03051373
2823 DEVE STREET,CHITUNGWIZA MUNICIPALITY,-17.99595763,31.03034375
NULL,CHITUNGWIZA MUNICIPALITY,-17.99484964,31.03149605
NULL,CHITUNGWIZA MUNICIPALITY,-17.99491014,31.03097808
2759 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99482013,31.03172626
NULL,CHITUNGWIZA MUNICIPALITY,-17.99559598,31.0300478
2772 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99546124,31.03115957
2688 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99442186,31.03152898
"2699 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99438248,31.03083538
"2705 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99443616,31.03048225
"2774 4222 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99548147,31.03105298
"2791 4171 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99548743,31.0300723
"2771 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99531089,31.0311863
"2707 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99445544,31.03037401
NULL,CHITUNGWIZA MUNICIPALITY,-17.99433835,31.03138911
